id,age,term,annual_contribution,growth_rate,takaful_benefit,year_one,year_two,year_three,year_four,year_five,year_six,year_seven,year_eight,year_nine,year_ten,year_eleven,year_twelve,year_thirteen,year_fourteen,year_fifteen,year_sixteen,year_seventeen,year_eighteen,year_nineteen,year_twenty,year_twenty_one,year_twenty_two,year_twenty_three,year_twenty_four,year_twenty_five,created_at
61,33,10,198700,0.09,993500,113568,259681,477001,710024,980229,1249340,1577790,1888910,2221900,2638920,,,,,,,,,,,,,,,,3/4/2025 0:34
62,33,15,144300,0.09,721500,81963.7,187483,344627,513078,708421,902856,1140260,1364930,1605320,1906560,2184870,2482630,2801210,3142060,3580150,,,,,,,,,,,3/4/2025 0:34
63,33,20,118600,0.09,593000,67032.9,153375,282091,420035,580011,739169,933556,1117390,1314030,1560570,1788140,2031550,2291920,2570420,2928650,3251560,3596950,3966380,4361510,4844460,,,,,,3/4/2025 0:34
64,33,25,103500,0.09,517500,58260.4,133335,245347,365368,504564,642995,812109,971943,1142880,1357290,1555040,1766520,1992690,2234560,2545860,2826200,3125990,3446580,3789400,4208650,4604390,5027570,5480070,5963920,6533940,3/4/2025 0:34
65,34,10,198800,0.09,994000,113570,259634,476967,710029,980335,1249550,1578140,1889390,2222510,2639720,,,,,,,,,,,,,,,,3/4/2025 0:34
66,34,15,144400,0.09,722000,81980.8,187486,344669,513179,708633,903185,1140730,1365540,1606070,1907500,2185980,2483920,2802700,3143760,3582110,,,,,,,,,,,3/4/2025 0:34
67,34,20,118600,0.09,593000,66999.2,153268,281924,419820,579774,738916,933284,1117100,1313720,1560240,1787780,2031170,2291510,2569980,2928180,3251060,3596410,3965800,4360890,4843800,,,,,,3/4/2025 0:34
68,34,25,103600,0.09,518000,58289,133374,245445,365542,504856,643410,812675,972651,1143740,1358340,1556270,1767940,1994310,2236400,2547990,2828580,3128640,3449520,3792650,4212280,4608380,5031940,5484850,5969150,6539690,3/4/2025 0:34
69,35,10,198800,0.09,994000,113499,259440,476656,709631,979903,1249090,1577650,1888860,2221940,2639110,,,,,,,,,,,,,,,,3/4/2025 0:34
70,35,15,144400,0.09,722000,81929.5,187344,344442,512889,708318,902848,1140370,1365150,1605660,1907060,2185500,2483410,2802150,3143170,3581480,,,,,,,,,,,3/4/2025 0:34
71,35,20,118600,0.09,593000,66957.1,153152,281738,419582,579514,738637,932986,1116780,1313370,1559870,1787390,2030750,2291060,2569500,2927660,3250500,3595820,3965160,4360210,4843070,,,,,,3/4/2025 0:34
72,35,25,103600,0.09,518000,58252.2,133272,245282,365333,504629,643166,812414,972371,1143440,1358020,1555920,1767570,1993920,2235970,2547540,2828090,3128120,3448960,3792050,4211640,4607700,5031210,5484070,5968310,6538790,3/4/2025 0:34
73,36,10,198900,0.09,994500,113487,259354,476553,709592,979967,1249260,1577950,1889290,2222500,2639840,,,,,,,,,,,,,,,,3/4/2025 0:34
74,36,15,144400,0.09,722000,81878.2,187185,344191,512598,708001,902508,1140010,1364760,1605240,1906610,2185020,2482900,2801600,3142580,3580860,,,,,,,,,,,3/4/2025 0:34
75,36,20,118700,0.09,593500,66973,153154,281774,419703,579752,738994,933491,1117420,1314160,1560850,1788530,2032080,2292590,2571240,2929680,3252760,3598340,3967970,4363310,4846550,,,,,,3/4/2025 0:34
76,36,25,103600,0.09,518000,58215.4,133158,245102,365123,504400,642922,812152,972090,1143140,1357700,1555580,1767200,1993520,2235550,2547080,2827610,3127600,3448400,3791460,4211000,4607010,5030480,5483280,5967460,6537890,3/4/2025 0:34
77,37,10,198900,0.09,994500,113402,259109,476239,709224,979567,1248830,1577490,1888800,2221980,2639270,,,,,,,,,,,,,,,,3/4/2025 0:34
78,37,15,144400,0.09,722000,81816.7,187007,343962,512330,707709,902196,1139670,1364410,1604860,1906200,2184580,2482430,2801100,3142040,3580280,,,,,,,,,,,3/4/2025 0:34
